"","movies","genres"
"14983","Sleeper (1973)","Comedy|Sci-Fi"
"15003","Bananas (1971)","Comedy|War"
"15011","Fish Called Wanda, A (1988)","Comedy|Crime"
"15062","Monty Python's Life of Brian (1979)","Comedy"
"15117","Victor/Victoria (1982)","Comedy|Musical|Romance"
"15126","Candidate, The (1972)","Drama"
"15134","Great Race, The (1965)","Comedy|Musical"
"15139","Bonnie and Clyde (1967)","Crime|Drama"
"15164","Old Man and the Sea, The (1958)","Adventure|Drama"
"15167","Dial M for Murder (1954)","Crime|Mystery|Thriller"
"15179","Dirty Dancing (1987)","Drama|Musical|Romance"
"15219","Reservoir Dogs (1992)","Crime|Mystery|Thriller"
"15293","Platoon (1986)","Drama|War"
"15334","Weekend at Bernie's (1989)","Comedy"
"15351","Basic Instinct (1992)","Crime|Mystery|Thriller"
"15380","Doors, The (1991)","Drama"
"15403","Crying Game, The (1992)","Drama|Romance|Thriller"
"15440","Glengarry Glen Ross (1992)","Drama"
"15460","Sophie's Choice (1982)","Drama"
"15470","E.T. the Extra-Terrestrial (1982)","Children|Drama|Sci-Fi"
"15546","Christmas Carol, A (1938)","Children|Drama|Fantasy"
"15547","Days of Thunder (1990)","Action|Drama|Romance"
"15558","Top Gun (1986)","Action|Romance"
"15604","Rebel Without a Cause (1955)","Drama"
"15617","Streetcar Named Desire, A (1951)","Drama"
"15635","Children of the Corn IV: The Gathering (1996)","Horror"
"15637","Loser (1991)","Comedy"
"15638","Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)","Documentary"
"15647","Palookaville (1996)","Action|Comedy|Drama"
"15648","Associate, The (1996)","Comedy"
"15656","Funeral, The (1996)","Crime|Drama"
"15659","Single Girl, A (Fille seule, La) (1995)","Drama"
"15661","Eighth Day, The (Huitième jour, Le) (1996)","Drama"
"15662","People vs. Larry Flynt, The (1996)","Comedy|Drama"
"15686","Glory Daze (1995)","Drama"
"15689","Perfect Candidate, A (1996)","Documentary"
"15691","On Golden Pond (1981)","Drama"
"15705","Return of the Pink Panther, The (1975)","Comedy|Crime"
"15714","Drop Dead Fred (1991)","Comedy|Fantasy"
"15722","Abyss, The (1989)","Action|Adventure|Sci-Fi|Thriller"
"15764","Fog, The (1980)","Horror"
"15768","Escape from New York (1981)","Action|Adventure|Sci-Fi|Thriller"
"15798","Howling, The (1980)","Horror|Mystery"
"15803","Jean de Florette (1986)","Drama|Mystery"
"15814","Manon of the Spring (Manon des sources) (1986)","Drama"
"15825","Private Benjamin (1980)","Comedy"
"15836","Monty Python and the Holy Grail (1975)","Adventure|Comedy|Fantasy"
"15918","Hustler White (1996)","Romance"
"15919","Dadetown (1995)","Drama"
"15920","Line King: The Al Hirschfeld Story, The (1996)","Documentary"
"15921","When We Were Kings (1996)","Documentary"
"15933","Wallace & Gromit: The Wrong Trousers (1993)","Animation|Children|Comedy|Crime"
"15960","Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)","Drama"
"15971","Tin Drum, The (Blechtrommel, Die) (1979)","Drama|War"
"15975","Ruling Class, The (1972)","Comedy|Drama"
"15976","Mina Tannenbaum (1994)","Drama"
"15977","2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her) (1967)","Drama"
"15978","Dear God (1996)","Comedy"
"15979","Bad Moon (1996)","Action|Adventure|Horror"
"15981","American Dream (1990)","Documentary"
"15984","Bob Roberts (1992)","Comedy"
"15991","Cinema Paradiso (Nuovo cinema Paradiso) (1989)","Drama"
"16019","Cook the Thief His Wife & Her Lover, The (1989)","Comedy|Drama"
"16031","Dead Tired (Grosse Fatigue) (1994)","Comedy"
"16032","Delicatessen (1991)","Comedy|Drama|Romance"
"16059","Double Life of Veronique, The (Double Vie de Véronique, La) (1991)","Drama|Fantasy|Romance"
"16067","Enchanted April (1992)","Drama|Romance"
"16073","Paths of Glory (1957)","Drama|War"
"16080","Grifters, The (1990)","Crime|Drama|Film-Noir"
"16100","Hear My Song (1991)","Comedy"
"16101","English Patient, The (1996)","Drama|Romance|War"
"16137","Mediterraneo (1991)","Comedy|Drama"
"16139","My Left Foot (1989)","Drama"
"16155","Sex, Lies, and Videotape (1989)","Drama"
"16172","Passion Fish (1992)","Drama"
"16177","Strictly Ballroom (1992)","Comedy|Romance"
"16197","Thin Blue Line, The (1988)","Documentary"
"16202","Tie Me Up! Tie Me Down! (¡Átame!) (1990)","Crime|Drama|Romance"
"16206","Madonna: Truth or Dare (1991)","Documentary|Musical"
"16211","Paris Is Burning (1990)","Documentary"
"16216","One Flew Over the Cuckoo's Nest (1975)","Drama"
"16284","Cheech and Chong's Up in Smoke (1978)","Comedy"
"16293","Star Wars: Episode V - The Empire Strikes Back (1980)","Action|Adventure|Sci-Fi"
"16403","Princess Bride, The (1987)","Action|Adventure|Comedy|Fantasy|Romance"
"16496","Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","Action|Adventure"
"16605","Brazil (1985)","Fantasy|Sci-Fi"
"16641","Aliens (1986)","Action|Adventure|Horror|Sci-Fi"
"16707","Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)","Action|Adventure|Western"
"16746","12 Angry Men (1957)","Drama"
"16774","Lawrence of Arabia (1962)","Adventure|Drama|War"
"16803","Clockwork Orange, A (1971)","Crime|Drama|Sci-Fi|Thriller"
"16872","To Kill a Mockingbird (1962)","Drama"
"16917","Apocalypse Now (1979)","Action|Drama|War"
"16979","Once Upon a Time in the West (C'era una volta il West) (1968)","Action|Drama|Western"
"16993","Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Sci-Fi"
"17102","Wings of Desire (Himmel über Berlin, Der) (1987)","Drama|Fantasy|Romance"
"17116","Third Man, The (1949)","Film-Noir|Mystery|Thriller"
"17125","Goodfellas (1990)","Crime|Drama"
"17188","Alien (1979)","Horror|Sci-Fi"
"17259","Army of Darkness (1993)","Action|Adventure|Comedy|Fantasy|Horror"
"17299","Big Blue, The (Grand bleu, Le) (1988)","Adventure|Drama|Romance"
"17304","Ran (1985)","Drama|War"
"17315","Killer, The (Die xue shuang xiong) (1989)","Action|Crime|Drama|Thriller"
"17318","Psycho (1960)","Crime|Horror"
"17359","Blues Brothers, The (1980)","Action|Comedy|Musical"
"17403","Godfather: Part II, The (1974)","Crime|Drama"
"17465","Full Metal Jacket (1987)","Drama|War"
"17518","Grand Day Out with Wallace and Gromit, A (1989)","Adventure|Animation|Children|Comedy|Sci-Fi"
"17531","Henry V (1989)","Action|Drama|Romance|War"
"17544","Amadeus (1984)","Drama"
"17589","Quiet Man, The (1952)","Drama|Romance"
"17592","Once Upon a Time in America (1984)","Crime|Drama"
"17601","Raging Bull (1980)","Drama"
"17626","Annie Hall (1977)","Comedy|Romance"
"17666","Right Stuff, The (1983)","Drama"
"17684","Stalker (1979)","Drama|Mystery|Sci-Fi"
"17691","Boot, Das (Boat, The) (1981)","Action|Drama|War"
"17724","Sting, The (1973)","Comedy|Crime"
"17762","Harold and Maude (1971)","Comedy|Drama|Romance"
"17778","Trust (1990)","Comedy|Drama|Romance"
"17780","Seventh Seal, The (Sjunde inseglet, Det) (1957)","Drama"
"17791","Local Hero (1983)","Comedy"
"17798","Terminator, The (1984)","Action|Sci-Fi|Thriller"
"17879","Dead Alive (Braindead) (1992)","Comedy|Fantasy|Horror"
"17883","Glory (1989)","Drama|War"
"17916","Rosencrantz and Guildenstern Are Dead (1990)","Comedy|Drama"
"17930","Manhattan (1979)","Comedy|Drama|Romance"
"17951","Miller's Crossing (1990)","Crime|Drama|Film-Noir|Thriller"
"17964","Dead Poets Society (1989)","Drama"
"18011","Graduate, The (1967)","Comedy|Drama|Romance"
"18050","Touch of Evil (1958)","Crime|Film-Noir|Thriller"
"18056","Femme Nikita, La (Nikita) (1990)","Action|Crime|Romance|Thriller"
"18080","Bridge on the River Kwai, The (1957)","Adventure|Drama|War"
"18114","8 1/2 (8½) (1963)","Drama|Fantasy"
"18127","Chinatown (1974)","Crime|Film-Noir|Mystery|Thriller"
"18159","Day the Earth Stood Still, The (1951)","Drama|Sci-Fi|Thriller"
"18171","Treasure of the Sierra Madre, The (1948)","Action|Adventure|Drama|Western"
"18179","Bad Taste (1987)","Comedy|Horror|Sci-Fi"
"18185","Duck Soup (1933)","Comedy|Musical|War"
"18200","Better Off Dead... (1985)","Comedy|Romance"
"18216","Shining, The (1980)","Horror"
"18262","Stand by Me (1986)","Adventure|Drama"
"18314","M (1931)","Crime|Film-Noir|Thriller"
"18324","Evil Dead II (Dead by Dawn) (1987)","Action|Comedy|Fantasy|Horror"
"18347","Great Escape, The (1963)","Action|Adventure|Drama|War"
"18374","Deer Hunter, The (1978)","Drama|War"
"18399","Diva (1981)","Action|Drama|Mystery|Romance|Thriller"
"18409","Groundhog Day (1993)","Comedy|Fantasy|Romance"
"18487","Unforgiven (1992)","Drama|Western"
"18524","Manchurian Candidate, The (1962)","Crime|Thriller|War"
"18541","Pump Up the Volume (1990)","Comedy|Drama"
"18549","Arsenic and Old Lace (1944)","Comedy|Mystery|Thriller"
"18562","Back to the Future (1985)","Adventure|Comedy|Sci-Fi"
"18671","Fried Green Tomatoes (1991)","Comedy|Crime|Drama"
"18691","Patton (1970)","Drama|War"
"18714","Down by Law (1986)","Comedy|Drama|Film-Noir"
"18722","Akira (1988)","Action|Adventure|Animation|Sci-Fi"
"18738","Highlander (1986)","Action|Adventure|Fantasy"
"18768","Cool Hand Luke (1967)","Drama"
"18798","Cyrano de Bergerac (1990)","Comedy|Drama|Romance"
"18808","Young Frankenstein (1974)","Comedy|Fantasy"
"18849","Night on Earth (1991)","Comedy|Drama"
"18858","Raise the Red Lantern (Da hong deng long gao gao gua) (1991)","Drama"
"18870","Great Dictator, The (1940)","Comedy|Drama|War"
"18883","Fantasia (1940)","Animation|Children|Fantasy|Musical"
"18916","High Noon (1952)","Drama|Western"
"18927","Big Sleep, The (1946)","Crime|Film-Noir|Mystery"
"18938","Heathers (1989)","Comedy"
"18970","Somewhere in Time (1980)","Drama|Romance"
"18980","Ben-Hur (1959)","Action|Adventure|Drama"
"19000","This Is Spinal Tap (1984)","Comedy"
"19039","Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983)","Documentary"
"19043","Some Kind of Wonderful (1987)","Drama|Romance"
"19045","Indiana Jones and the Last Crusade (1989)","Action|Adventure"
"19132","Being There (1979)","Comedy|Drama"
"19152","Gandhi (1982)","Drama"
"19171","Unbearable Lightness of Being, The (1988)","Drama"
"19178","Room with a View, A (1986)","Drama|Romance"
"19192","Real Genius (1985)","Comedy"
"19203","Pink Floyd: The Wall (1982)","Drama|Musical"
"19217","Killing Fields, The (1984)","Drama|War"
"19234","My Life as a Dog (Mitt liv som hund) (1985)","Comedy|Drama"
"19243","Forbidden Planet (1956)","Drama|Sci-Fi"
"19251","Field of Dreams (1989)","Children|Drama|Fantasy"
"19288","Man Who Would Be King, The (1975)","Adventure|Drama"
"19296","Butch Cassidy and the Sundance Kid (1969)","Action|Western"
"19340","Paris, Texas (1984)","Drama|Romance"
"19346","Until the End of the World (Bis ans Ende der Welt) (1991)","Adventure|Drama|Sci-Fi"
"19349","When Harry Met Sally... (1989)","Comedy|Romance"
"19405","Hype! (1996)","Documentary"
"19409","I'm Not Rappaport (1996)","Comedy"
"19410","Alien³ (a.k.a. Alien 3) (1992)","Action|Horror|Sci-Fi|Thriller"
"19450","American Werewolf in London, An (1981)","Comedy|Horror|Thriller"
"19466","Amityville 1992: It's About Time (1992)","Horror"
"19467","Amityville 3-D (1983)","Horror"
"19468","Amityville II: The Possession (1982)","Horror"
"19469","Amityville Horror, The (1979)","Drama|Horror|Mystery|Thriller"
"19473","Amityville Curse, The (1990)","Horror"
"19474","Blood for Dracula (Andy Warhol's Dracula) (1974)","Horror"
"19475","April Fool's Day (1986)","Horror"
"19477","Audrey Rose (1977)","Horror"
"19479","Believers, The (1987)","Horror|Thriller"
"19481","Birds, The (1963)","Horror|Thriller"
"19500","Blob, The (1958)","Horror|Sci-Fi"
"19508","Body Parts (1991)","Horror|Thriller"
"19510","Dracula (Bram Stoker's Dracula) (1992)","Fantasy|Horror|Romance|Thriller"
"19531","Bride of Frankenstein, The (Bride of Frankenstein) (1935)","Drama|Horror|Sci-Fi"
"19535","Candyman (1992)","Horror|Thriller"
"19546","Cape Fear (1991)","Thriller"
"19566","Cape Fear (1962)","Crime|Drama|Thriller"
"19570","Carrie (1976)","Drama|Fantasy|Horror|Thriller"
"19584","Cat People (1982)","Drama|Fantasy|Horror"
"19588","Nightmare on Elm Street, A (1984)","Horror|Thriller"
"19601","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)","Horror"
"19610","Omen, The (1976)","Horror|Mystery|Thriller"
"19625","Blood and Wine (Blood & Wine) (1996)","Crime|Drama|Thriller"
"19627","Albino Alligator (1996)","Crime|Thriller"
"19631","Mirror Has Two Faces, The (1996)","Comedy|Drama|Romance"
"19636","Breaking the Waves (1996)","Drama|Mystery"
"19650","Nightwatch (1997)","Horror|Thriller"
"19652","Star Trek: First Contact (1996)","Action|Adventure|Sci-Fi|Thriller"
"19693","Shine (1996)","Drama|Romance"
"19712","Sling Blade (1996)","Drama"
"19756","Jingle All the Way (1996)","Children|Comedy"
"19760","Paradise Lost: The Child Murders at Robin Hood Hills (1996)","Documentary"
"19766","Preacher's Wife, The (1996)","Drama"
"19772","Ridicule (1996)","Drama"
"19777","Crucible, The (1996)","Drama"
"19782","101 Dalmatians (1996)","Adventure|Children|Comedy"
"19804","Die Hard 2 (1990)","Action|Adventure|Thriller"
"19848","Star Trek: The Motion Picture (1979)","Adventure|Sci-Fi"
"19867","Star Trek VI: The Undiscovered Country (1991)","Action|Mystery|Sci-Fi"
"19895","Star Trek V: The Final Frontier (1989)","Action|Sci-Fi"
"19910","Star Trek II: The Wrath of Khan (1982)","Action|Adventure|Sci-Fi|Thriller"
"19942","Star Trek III: The Search for Spock (1984)","Action|Adventure|Sci-Fi"
"19971","Star Trek IV: The Voyage Home (1986)","Adventure|Comedy|Sci-Fi"
"20007","Batman Returns (1992)","Action|Crime"
"20033","Young Guns (1988)","Action|Comedy|Western"
"20052","Young Guns II (1990)","Action|Western"
"20060","Grease (1978)","Comedy|Musical|Romance"
"20097","Grease 2 (1982)","Comedy|Musical|Romance"
"20104","Marked for Death (1990)","Action|Drama"
"20108","Substance of Fire, The (1996)","Drama"
"20109","Under Siege (1992)","Action|Drama|Thriller"
"20127","Terror in a Texas Town (1958)","Western"
"20128","Jaws (1975)","Action|Horror"
"20181","Jaws 2 (1978)","Horror|Thriller"
"20188","Jaws 3-D (1983)","Action|Horror"
"20192","My Fellow Americans (1996)","Comedy"
"20195","Mars Attacks! (1996)","Action|Comedy|Sci-Fi"
"20235","Citizen Ruth (1996)","Comedy|Drama"
"20236","Jerry Maguire (1996)","Drama|Romance"
"20290","Raising Arizona (1987)","Comedy"
"20327","Tin Men (1987)","Comedy|Drama"
"20333","Sneakers (1992)","Action|Comedy|Crime|Drama|Sci-Fi"
"20364","Bastard Out of Carolina (1996)","Drama"
"20367","In Love and War (1996)","Romance|War"
"20369","Marvin's Room (1996)","Drama"
"20370","Ghosts of Mississippi (1996)","Drama"
"20376","Night Falls on Manhattan (1996)","Crime|Drama"
"20377","Beavis and Butt-Head Do America (1996)","Adventure|Animation|Comedy|Crime"
"20396","Judgement in Stone, A (Cérémonie, La) (1995)","Drama"
"20398","Scream (1996)","Comedy|Horror|Mystery|Thriller"
"20445","Last of the Mohicans, The (1992)","Action|Romance|War|Western"
"20476","Michael (1996)","Comedy|Drama|Fantasy|Romance"
"20489","Evening Star, The (1996)","Comedy|Drama"
"20491","Hamlet (1996)","Crime|Drama|Romance"
"20504","Some Mother's Son (1996)","Drama"
"20506","Whole Wide World, The (1996)","Drama"
"20510","Mother (1996)","Comedy"
"20515","Thieves (Voleurs, Les) (1996)","Crime|Drama|Romance"
"20516","Evita (1996)","Drama|Musical"
"20529","Portrait of a Lady, The (1996)","Drama"
"20532","Walkabout (1971)","Adventure|Drama"
"20534","Murder at 1600 (1997)","Crime|Drama|Mystery|Thriller"
"20544","Fierce Creatures (1997)","Comedy"
"20548","Zeus and Roxanne (1997)","Children"
"20549","Turbulence (1997)","Action|Thriller"
"20553","First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)","Action|Adventure|Comedy|Thriller"
"20562","Underworld (1996)","Comedy|Thriller"
"20564","Beverly Hills Ninja (1997)","Action|Comedy"
"20571","Metro (1997)","Action|Comedy|Crime|Drama|Thriller"
"20577","Stranger, The (1994)","Action"
"20578","Falling in Love Again (1980)","Comedy"
"20579","Dante's Peak (1997)","Action|Thriller"
"20596","Meet Wally Sparks (1997)","Comedy"
"20597","Amos & Andrew (1993)","Comedy"
"20601","Benny & Joon (1993)","Comedy|Romance"
"20615","Prefontaine (1997)","Drama"
"20617","McHale's Navy (1997)","Comedy|War"
"20623","Kolya (Kolja) (1996)","Comedy|Drama"
"20629","Gridlock'd (1997)","Crime"
"20630","Waiting for Guffman (1996)","Comedy"
"20648","Prisoner of the Mountains (Kavkazsky plennik) (1996)","War"
"20649","Beautician and the Beast, The (1997)","Comedy|Romance"
"20655","SubUrbia (1997)","Comedy|Drama"
"20657","Pest, The (1997)","Comedy"
"20658","Fools Rush In (1997)","Comedy|Drama|Romance"
"20665","Touch (1997)","Drama|Fantasy|Romance"
"20667","Absolute Power (1997)","Mystery|Thriller"
"20677","That Darn Cat (1997)","Children|Comedy|Mystery"
"20678","Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997)","Comedy"
"20684","That Old Feeling (1997)","Comedy|Romance"
"20685","Lost Highway (1997)","Crime|Drama|Fantasy|Film-Noir|Mystery|Romance"
"20694","Rosewood (1997)","Action|Drama"
"20698","Donnie Brasco (1997)","Crime|Drama"
"20727","Booty Call (1997)","Comedy|Romance"
"20730","City of Industry (1997)","Crime|Thriller"
"20731","Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997)","Children|Comedy"
"20737","Kama Sutra: A Tale of Love (1996)","Romance"
"20739","Private Parts (1997)","Comedy|Drama"
"20755","Love Jones (1997)","Romance"
"20758","Saint, The (1997)","Action|Romance|Sci-Fi|Thriller"
"20782","Smilla's Sense of Snow (1997)","Drama|Thriller"
"20789","Crash (1996)","Drama|Thriller"
"20796","Daytrippers, The (1996)","Comedy|Drama|Mystery|Romance"
"20799","Liar Liar (1997)","Comedy"
"20842","Quiet Room, The (1996)","Drama"
"20843","Selena (1997)","Drama|Musical"
"20848","Devil's Own, The (1997)","Action|Drama|Thriller"
"20859","Double Team (1997)","Action"
"20862","Inventing the Abbotts (1997)","Drama|Romance"
"20863","Anaconda (1997)","Action|Adventure|Thriller"
"20879","Grosse Pointe Blank (1997)","Comedy|Crime|Romance"
"20920","Kissed (1996)","Drama|Romance"
"20921","8 Heads in a Duffel Bag (1997)","Comedy"
"20926","Hollow Reed (1996)","Drama"
"20927","Paradise Road (1997)","Drama|War"
"20929","Traveller (1997)","Drama"
"20931","Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti) (1997)","Comedy|Romance"
"20932","Romy and Michele's High School Reunion (1997)","Comedy"
"20945","Volcano (1997)","Action|Drama|Thriller"
"20955","Children of the Revolution (1996)","Comedy"
"20957","Austin Powers: International Man of Mystery (1997)","Action|Adventure|Comedy"
"21003","Breakdown (1997)","Action|Thriller"
"21014","Broken English (1996)","Drama"
"21015","Truth or Consequences, N.M. (1997)","Action|Crime|Romance"
"21018","Warriors of Virtue (1997)","Action|Adventure|Children|Fantasy"
"21020","Fathers' Day (1997)","Comedy"
"21023","Fifth Element, The (1997)","Action|Adventure|Comedy|Sci-Fi"
"21091","Nowhere (1997)","Comedy|Drama"
"21093","Losing Chase (1996)","Drama"
"21094","Promise, The (La promesse) (1996)","Drama"
"21097","Love! Valour! Compassion! (1997)","Drama|Romance"
"21100","Shall We Dance? (Shall We Dansu?) (1996)","Comedy|Drama|Romance"
"21113","Second Jungle Book: Mowgli & Baloo, The (1997)","Adventure|Children"
"21114","Twin Town (1997)","Comedy|Crime"
"21115","Addicted to Love (1997)","Comedy|Romance"
"21117","Brassed Off (1996)","Comedy|Drama|Romance"
"21123","Lost World: Jurassic Park, The (1997)","Action|Adventure|Sci-Fi|Thriller"
"21158","Ponette (1996)","Drama"
"21160","Schizopolis (1996)","Comedy"
"21162","Shiloh (1997)","Children|Drama"
"21164","War at Home, The (1996)","Drama"
"21165","Rough Magic (1995)","Drama|Romance"
"21167","Trial and Error (1997)","Comedy|Romance"
"21169","Buddy (1997)","Adventure|Children|Drama"
"21171","Con Air (1997)","Action|Adventure|Thriller"
"21211","Pillow Book, The (1996)","Drama|Romance"
"21213","Speed 2: Cruise Control (1997)","Action|Romance|Thriller"
"21224","Sudden Manhattan (1997)","Comedy"
"21225","Batman & Robin (1997)","Action|Adventure|Fantasy|Thriller"
"21242","Dream With the Fishes (1997)","Drama"
"21243","For Roseanna (Roseanna's Grave) (1997)","Comedy|Drama|Romance"
"21244","Hercules (1997)","Adventure|Animation|Children|Comedy|Musical"
"21254","My Best Friend's Wedding (1997)","Comedy|Romance"
"21274","When the Cat's Away (Chacun cherche son chat) (1996)","Comedy|Romance"
"21275","Face/Off (1997)","Action|Crime|Drama|Thriller"
"21323","Men in Black (a.k.a. MIB) (1997)","Action|Comedy|Sci-Fi"
"21417","Out to Sea (1997)","Comedy"
"21419","Wild America (1997)","Adventure|Children"
"21420","Simple Wish, A (1997)","Children|Fantasy"
"21421","Contact (1997)","Drama|Sci-Fi"
"21468","G.I. Jane (1997)","Action|Drama"
"21492","Conan the Barbarian (1982)","Action|Adventure|Fantasy"
"21507","George of the Jungle (1997)","Children|Comedy"
"21516","Cop Land (1997)","Action|Crime|Drama|Thriller"
"21531","Event Horizon (1997)","Horror|Sci-Fi|Thriller"
"21546","Spawn (1997)","Action|Adventure|Sci-Fi|Thriller"
"21561","Air Bud (1997)","Children|Comedy"
"21566","Picture Perfect (1997)","Comedy|Romance"
"21569","In the Company of Men (1997)","Comedy|Drama"
"21579","Free Willy 3: The Rescue (1997)","Adventure|Children|Drama"
"21581","Career Girls (1997)","Drama"
"21583","Conspiracy Theory (1997)","Drama|Mystery|Romance|Thriller"
"21617","Desperate Measures (1998)","Crime|Drama|Thriller"
"21624","Steel (1997)","Action"
"21625","She's So Lovely (1997)","Drama|Romance"
"21628","Hoodlum (1997)","Crime|Drama|Film-Noir"
"21631","Mimic (1997)","Horror|Sci-Fi|Thriller"
"21639","Money Talks (1997)","Action|Comedy"
"21640","Excess Baggage (1997)","Adventure|Romance"
"21642","Kull the Conqueror (1997)","Action|Adventure"
"21646","Air Force One (1997)","Action|Thriller"
"21683","187 (One Eight Seven) (1997)","Drama|Thriller"
"21687","Hunt for Red October, The (1990)","Action|Adventure|Thriller"
"21732","My Own Private Idaho (1991)","Drama|Romance"
"21741","In & Out (1997)","Comedy"
"21754","Edge, The (1997)","Adventure|Drama"
"21766","Peacemaker, The (1997)","Action|Thriller|War"
"21780","L.A. Confidential (1997)","Crime|Film-Noir|Mystery|Thriller"
"21857","Seven Years in Tibet (1997)","Adventure|Drama|War"
"21866","Kiss the Girls (1997)","Crime|Drama|Mystery|Thriller"
"21881","Soul Food (1997)","Drama"
"21885","Wishmaster (1997)","Horror"
"21888","Thousand Acres, A (1997)","Drama"
"21890","Game, The (1997)","Drama|Mystery|Thriller"
"21930","Fire Down Below (1997)","Action|Drama|Thriller"
"21936","U Turn (1997)","Crime|Drama|Mystery"
"21942","MatchMaker, The (1997)","Comedy|Romance"
"21946","Assignment, The (1997)","Action|Thriller"
"21949","Smile Like Yours, A (1997)","Comedy|Romance"
"21952","Ulee's Gold (1997)","Drama"
"21963","Ice Storm, The (1997)","Drama"
"21978","Stag (1997)","Action|Thriller"
"21979","Chasing Amy (1997)","Comedy|Drama|Romance"
"22017","How to Be a Player (1997)","Comedy"
"22019","Full Monty, The (1997)","Comedy|Drama"
"22071","Indian Summer (a.k.a. Alive & Kicking) (1996)","Comedy|Drama"
"22072","Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)","Drama|Romance"
"22077","I Know What You Did Last Summer (1997)","Horror|Mystery|Thriller"
"22095","Devil's Advocate, The (1997)","Drama|Mystery|Thriller"
"22120","RocketMan (a.k.a. Rocket Man) (1997)","Children|Comedy|Romance|Sci-Fi"
"22121","Playing God (1997)","Crime|Drama|Thriller"
"22125","House of Yes, The (1997)","Comedy|Drama"
"22126","Fast, Cheap & Out of Control (1997)","Documentary"
"22130","Washington Square (1997)","Drama"
"22134","Telling Lies in America (1997)","Drama"
"22135","Gattaca (1997)","Drama|Sci-Fi|Thriller"
"22181","FairyTale: A True Story (1997)","Children|Drama|Fantasy"
"22183","Phantoms (1998)","Drama|Horror|Thriller"
"22186","Wonderland (1997)","Comedy|Documentary"
"22187","Life Less Ordinary, A (1997)","Romance|Thriller"
"22192","Eve's Bayou (1997)","Drama"
"22196","Switchback (1997)","Crime|Mystery|Thriller"
"22204","Gang Related (1997)","Crime"
"22205","Stripes (1981)","Comedy|War"
"22221","Bean (1997)","Comedy"
"22227","Hugo Pool (1997)","Romance"
"22228","Mad City (1997)","Action|Drama"
"22233","One Night Stand (1997)","Drama"
"22235","Tango Lesson, The (1997)","Romance"
"22236","Welcome to Sarajevo (1997)","Drama|War"
"22238","Deceiver (1997)","Crime|Drama|Thriller"
"22239","Rainmaker, The (1997)","Drama"
"22247","Boogie Nights (1997)","Drama"
"22288","Witness (1985)","Drama|Romance|Thriller"
"22315","Starship Troopers (1997)","Action|Sci-Fi"
"22356","Critical Care (1997)","Comedy|Drama"
"22358","Joy Luck Club, The (1993)","Drama|Romance"
"22366","Sliding Doors (1998)","Drama|Romance"
"22377","Mortal Kombat: Annihilation (1997)","Action|Adventure|Fantasy"
"22384","Truman Show, The (1998)","Comedy|Drama|Sci-Fi"
"22440","Wings of the Dove, The (1997)","Drama|Romance"
"22445","Mrs. Dalloway (1997)","Drama|Romance"
"22448","Red Corner (1997)","Crime|Thriller"
"22452","Jackal, The (1997)","Action|Thriller"
"22467","Anastasia (1997)","Adventure|Animation|Children|Drama|Musical"
"22480","Man Who Knew Too Little, The (1997)","Comedy|Crime|Thriller"
"22485","Alien: Resurrection (1997)","Action|Horror|Sci-Fi"
"22516","Amistad (1997)","Drama|Mystery"
"22523","Apostle, The (1997)","Drama"
"22532","Artemisia (1997)","Drama"
"22533","Butcher Boy, The (1997)","Comedy|Drama"
"22536","Deconstructing Harry (1997)","Comedy|Drama"
"22545","Flubber (1997)","Children|Comedy|Fantasy"
"22556","For Richer or Poorer (1997)","Comedy"
"22559","Good Will Hunting (1997)","Drama|Romance"
"22623","Home Alone 3 (1997)","Children|Comedy"
"22628","Midnight in the Garden of Good and Evil (1997)","Crime|Drama|Mystery"
"22637","Mouse Hunt (1997)","Children|Comedy"
"22644","Scream 2 (1997)","Comedy|Horror|Mystery|Thriller"
"22659","Sweet Hereafter, The (1997)","Drama"
"22667","Titanic (1997)","Drama|Romance"
"22756","Tomorrow Never Dies (1997)","Action|Adventure|Thriller"
"22790","Education of Little Tree, The (1997)","Drama"
"22793","Postman, The (1997)","Action|Adventure|Drama|Sci-Fi"
"22798","Horse Whisperer, The (1998)","Drama|Romance"
"22803","Winter Guest, The (1997)","Drama"
"22804","Jackie Brown (1997)","Crime|Drama|Thriller"
"22835","Kundun (1997)","Drama"
"22840","Mr. Magoo (1997)","Comedy"
"22841","Big Lebowski, The (1998)","Comedy|Crime"
"22896","Afterglow (1997)","Drama|Romance"
"22897","My Life in Pink (Ma vie en rose) (1997)","Comedy|Drama"
"22904","Great Expectations (1998)","Drama|Romance"
